id;start_date;end_date;language
1;2021-04-27T19:43:46;2021-04-27T17:34:01;ENGLISH
2;2021-04-27T05:11:21;2021-04-27T14:36:50;FRENCH
3;2021-04-27T15:07:33;2021-04-27T03:12:41;SPANISH
4;2021-04-27T19:38:22;2021-04-27T01:04:41;FRENCH
5;2021-04-27T21:54:45;2021-04-27T06:13:43;ENGLISH
6;2021-04-27T07:25:28;2021-04-27T21:25:48;SPANISH
7;2021-04-27T15:29:16;2021-04-27T02:03:25;FRENCH
8;2021-04-27T05:55:09;2021-04-27T02:30:58;FRENCH
9;2021-04-27T06:46:47;2021-04-27T18:18:13;FRENCH
10;2021-04-27T02:43:45;2021-04-27T19:41:14;FRENCH
